City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,7.31,75,20,5.13,CL,2024-06-27
1,mount gambier,-37.8333,140.7667,8.52,73,100,4.63,AU,2024-06-27
2,grytviken,-54.2811,-36.5092,-4.23,95,100,4.28,GS,2024-06-27
3,kill devil hills,36.0307,-75.676,24.01,91,40,2.06,US,2024-06-27
4,adamstown,-25.066,-130.1015,21.39,83,6,7.56,PN,2024-06-27
5,kapuskasing,49.4169,-82.4331,17.0,55,75,5.66,CA,2024-06-27
6,la ronge,55.1001,-105.2842,25.12,23,75,5.14,CA,2024-06-27
7,georgetown,5.4112,100.3354,26.96,78,20,1.54,MY,2024-06-27
8,isafjordur,66.0755,-23.124,7.02,76,75,6.69,IS,2024-06-27
9,aykhal,66.0,111.5,19.54,46,100,1.82,RU,2024-06-27
10,edinburgh of the seven seas,-37.0676,-12.3116,11.1,62,97,8.12,SH,2024-06-27
11,rubio,7.7013,-72.3557,30.11,43,57,2.57,VE,2024-06-27
12,ushuaia,-54.8,-68.3,-2.19,74,75,2.57,AR,2024-06-27
13,egilsstadir,65.2653,-14.3948,6.95,93,100,8.23,IS,2024-06-27
14,north bend,43.4065,-124.2243,22.36,72,75,5.66,US,2024-06-27
15,horta,38.5333,-28.6333,22.8,81,20,4.02,PT,2024-06-27
16,yeosu,34.7546,127.6599,20.67,84,27,0.56,KR,2024-06-27
17,udachny,66.4167,112.4,19.41,48,99,2.97,RU,2024-06-27
18,albany,42.6001,-73.9662,23.23,52,40,1.34,US,2024-06-27
19,boende,-0.2167,20.8667,24.13,46,28,0.36,CD,2024-06-27
20,rosetta,31.4044,30.4164,25.49,74,0,5.84,EG,2024-06-27
21,puerto ayora,-0.7393,-90.3518,28.98,90,98,1.34,EC,2024-06-27
22,la'ie,21.6477,-157.9253,28.98,71,25,3.58,US,2024-06-27
23,jamestown,42.097,-79.2353,19.29,55,40,4.12,US,2024-06-27
24,port-aux-francais,-49.35,70.2167,2.59,64,82,13.9,TF,2024-06-27
25,jeddah,21.5169,39.2192,32.92,38,0,2.06,SA,2024-06-27
26,lihue,21.9789,-159.3672,27.77,69,40,6.17,US,2024-06-27
27,bilibino,68.0546,166.4372,16.61,40,100,1.38,RU,2024-06-27
28,awjilah,29.1081,21.2869,27.37,57,0,7.19,LY,2024-06-27
29,invercargill,-46.4,168.35,6.68,93,100,1.73,NZ,2024-06-27
30,canguaretama,-6.38,-35.1289,23.14,88,42,4.06,BR,2024-06-27
31,west island,-12.1568,96.8225,26.99,78,75,5.14,CC,2024-06-27
32,pemangkat,1.1667,108.9667,26.15,87,100,2.41,ID,2024-06-27
33,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,58,0,1.0,RU,2024-06-27
34,strezhevoy,60.7333,77.5889,15.84,88,100,3.83,RU,2024-06-27
35,taybad,34.74,60.7756,26.18,42,31,8.78,IR,2024-06-27
36,pacific grove,36.6177,-121.9166,24.25,73,20,5.14,US,2024-06-27
37,yellowknife,62.456,-114.3525,21.34,39,40,3.09,CA,2024-06-27
38,ust-nera,64.5667,143.2,7.18,60,98,4.67,RU,2024-06-27
39,cabo san lucas,22.8909,-109.9124,33.17,27,0,5.66,MX,2024-06-27
40,sur,22.5667,59.5289,31.48,59,76,4.42,OM,2024-06-27
41,bethel,41.3712,-73.414,28.13,55,40,3.6,US,2024-06-27
42,margaret river,-33.95,115.0667,12.95,89,88,5.5,AU,2024-06-27
43,tazovsky,67.4667,78.7,13.78,93,100,3.93,RU,2024-06-27
44,kingston,17.997,-76.7936,28.53,79,100,6.17,JM,2024-06-27
45,laguna,38.421,-121.4238,34.19,28,0,0.45,US,2024-06-27
46,hadibu,12.65,54.0333,26.81,80,97,8.82,YE,2024-06-27
47,alpine,32.835,-116.7664,28.6,54,0,4.12,US,2024-06-27
48,blackmans bay,-43.0167,147.3167,6.52,90,100,0.45,AU,2024-06-27
49,queenstown,-31.8976,26.8753,9.97,51,0,2.02,ZA,2024-06-27
50,ribeira grande,38.5167,-28.7,23.22,68,20,3.13,PT,2024-06-27
51,whitehorse,60.7161,-135.0538,24.43,33,75,2.57,CA,2024-06-27
52,mili,6.0815,171.735,28.78,77,81,6.44,MH,2024-06-27
53,tsiombe,-25.3,45.4833,18.21,66,0,5.22,MG,2024-06-27
54,talnakh,69.4865,88.3972,18.26,83,85,3.52,RU,2024-06-27
55,iqaluit,63.7506,-68.5145,5.85,75,75,2.57,CA,2024-06-27
56,rikaze,29.25,88.8833,10.19,80,100,1.27,CN,2024-06-27
57,arish,31.1316,33.7984,26.1,83,0,0.0,EG,2024-06-27
58,progreso,21.2833,-89.6667,36.06,90,100,6.47,MX,2024-06-27
59,uporovo,56.3109,66.2693,13.67,94,87,1.1,RU,2024-06-27
60,santa cruz del sur,20.7147,-77.9956,30.44,66,100,2.7,CU,2024-06-27
61,tidjikja,18.5564,-11.4271,35.96,12,7,4.14,MR,2024-06-27
62,lompoc,34.6391,-120.4579,24.91,72,0,6.69,US,2024-06-27
63,johvi,59.3592,27.4211,16.5,73,0,2.21,EE,2024-06-27
64,waitangi,-43.9535,-176.5597,11.57,96,100,1.79,NZ,2024-06-27
65,papatowai,-46.5619,169.4708,8.74,79,100,0.57,NZ,2024-06-27
66,fortuna,40.5982,-124.1573,18.53,71,20,8.23,US,2024-06-27
67,gadzhiyevo,69.2551,33.3362,9.01,78,4,2.7,RU,2024-06-27
68,yuzhno-kurilsk,44.0306,145.8556,15.62,83,17,2.49,RU,2024-06-27
69,kolonia town,6.964,158.206,27.06,94,100,2.06,FM,2024-06-27
70,stanley,54.868,-1.6985,13.17,81,40,6.69,GB,2024-06-27
71,qaqortoq,60.7167,-46.0333,6.93,75,100,2.11,GL,2024-06-27
72,puerto natales,-51.7236,-72.4875,-2.75,93,75,2.57,CL,2024-06-27
